Year,Series,Unit,Value
2006,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,22.22177
2007,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,18.37737
2008,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,15.74018
2009,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,20.88057
2010,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,17.38574
2011,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,19.67485
2012,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,19.39417
2013,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,31.56554
2014,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,25.00764
2015,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,31.66628
2016,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,30.94078
2017,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,6.80712
2018,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,15.60886
2019,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,11.23059
2020,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,12.95146
2021,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,2.68319
2022,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,4.93524
